pdf_page_1_based	text_characters	opening_text
26	1190	working. He emailed me a link. I clicked and… boom. There was Mikael. There was Serge. Mikael said hello, Serge said hello, I said hello. We
27	968	But it wasn’t just more time, it was higher-quality time. Before Stockholm, if I spent an hour on the project, I wasn’t working for the enti
28	2059	After that week in Stockholm, realization struck me—BANG!—like a two- by-four between the eyes. This didn’t have to be a once-in-a-lifetime 
29	401	one context to the next, we’re fooling ourselves. Figuring out a project’s strategy takes intense focus. Choosing the best opportunity among
30	0	
31	1913	The solution is straightforward: make the difficult decision to call time-out, drop everything—all the constant email, constant meetings, co
32	2062	Form a tiny team The Foundation Sprint compresses a whole lot of action into a short period of time. To move fast, keep the team small. I re
33	2001	Once you’ve set expectations for those outside the sprint, it’s time to prepare those on the sprint team for a different way of working. Wor
34	1321	Get started, not perfect The goal of the Foundation Sprint is not to come up with a perfect plan. The goal is to come up with a rough draft:
35	6	Basics
36	181	Start the Foundation Sprint by establishing the Basics: who your customer is, the problem you want to help them solve, your team’s unique ad
37	0	
38	1340	2 Customer The first day of the Foundation Sprint begins with a sequence of questions called the Basics. I love the Basics, because the answ
39	1994	But Josh presses his case. “There’s a million robots that turn into something,” he says. “What’s fun about playing with a building?” I was a
40	728	teams respect, understand, and focus on their customers. Teams who see their customers as a pair of eyeballs and a wallet? They struggle. It
41	0	
42	1482	So, tell me: Who’s your customer? What problem are you solving for them? These are obvious questions—almost rude. But again, the obvious stu
43	326	4. Silent vote—Each person reviews the sticky notes in silence for about five minutes and places two or three votes for their favorite propo
44	0	
45	1323	That’s the Note-and-Vote. You can Note-and-Vote to define your customer, then do it again to define the problem you’re solving. We use this 
46	1362	We’ve led hundreds—maybe thousands!—of these Note-and-Votes, and we find that they work best if you use two simple tricks: plain language an
47	1117	Customers should be real people. Problems should be real problems. In the case of Google Meet, our customers were teams with people in diffe
48	1438	3 Advantage We all have things we do well—and things we don’t do so well. Topics we care about, and others that make us shrug. And we all ha
49	1093	First, meet Katie Hoffman, a mechanical engineer. On a typical day in 2014, we find Katie navigating among various kinds of industrial equip
50	0	
51	1886	Next, meet Jim Gao—also a mechanical engineer. On a typical day in 2014, we find Jim sitting in the control room of a huge Google data cente
52	1721	To master Go, Veda and his colleagues must develop a new approach to artificial intelligence. They need to create a program that can see the
53	1922	Next, let’s look at the second kind of advantage: motivation. Motivation is the specific reason you’re going after this problem; a fire that
54	2006	The computer believed that Lee, the seemingly invincible champion, could be defeated. Over the past few days, Veda and his teammates—fifteen
55	1945	they put this new artificial intelligence in charge of the cooling system at a Google data center. At first, the electricity usage spiked. T
56	2051	Phaidra was one of our first investments at Character Capital, and their story is one of the big inspirations for the Foundation Sprint. The
57	813	strategy by pointing the way to a special solution that your team—and only your team—can deliver. Identify your team’s unique advantage The 
58	921	Phaidra’s unique capability was a combination of computer science and mechanical engineering. They had special insight into how industrial p
59	1550	4 Competition When I was a kid, the world’s biggest star was Michael Jordan and the world’s coolest company was Nike, because they made his 
60	2382	Back then, Nike had only a small budget for sponsoring basketball players, so Sonny is bargain-hunting—until he sees video footage of Jordan
61	1563	that Converse won’t have a plan for making Jordan stand out from Magic, Bird, and Dr. J. He predicts that Adidas’ leadership will appear dis
62	642	The next step in the Foundation Sprint is identifying the competition. Like the other Basics, this is so obvious that most teams skip it whe
63	0	
64	1896	Start with direct competitors First, write down the other companies or products that more or less solve your customer’s problem. This is the
65	2271	Or you might be competing against nothing Remember how I JUST said that no competition usually means there’s not a real problem? Well, the w
66	1602	other niche business apps who offered instant messaging. But none of those newcomers were well known.I So, instead of positioning themselves
67	0	
68	15	Differentiation
69	141	Design differentiation that will set you far apart from the competition, then write project principles to bring your differentiation to life
70	0	
71	1509	5 Differentiation When I first met Jonny Godwin, founder of Orbital Materials, he told me that his company was going to invent new molecules
72	1712	a stunning technology breakthrough in the lab, where they synthesized something called a “template molecule.” Synthesizing a template molecu
73	1466	outstanding capabilities in both computer science and chemistry—they could back up the sales pitch with credible details. Right after their 
74	100	It’s how you capture customers’ attention, and why they switch. It’s what makes your solution click.
75	0	
76	1523	The most successful products don’t just differentiate a little—they create radical separation from the competition. These products make a bo
77	921	size and video quality. Instead, we focused on ease of use. We designed a prototype that allowed multiple people to join a meeting just by f
78	632	Once you start seeing the world through differentiation goggles, it’s hard to stop. So let’s make a few more diagrams. When Nike played the 
79	461	To differentiate, Slack focused on boosting teamwork and making communication fun. They reminded us why we all hate email, and showed us how
80	1238	High school students aren’t as set in their ways as chemical companies, but ASI still needed to create a new framework to show why their sol
81	1255	customers. Working on that irrelevant project would probably feel uninspiring and demoralizing. What’s the point of giving your best effort 
82	1821	Here’s how to do it: Imagine the project is finished and everything went as well as possible. You’re still the same team, in the same real w
83	921	Go through all the classics and consider how your solution might stack up against the competition. Where could your product be on the spectr
84	1237	After the team creates custom “good vs. crummy” pairings, work alone together to place dots on the new scales. It’s okay if you end up with 
85	1108	That slide wasn’t just marketing fluff. You can bet there was as much emphasis on easy to use during the development of the iPhone as there 
86	1523	This is not good enough. If you’re only 3 percent better than the competition, it won’t be worth the calories for your customers to even thi
87	291	We’ve come to the end of the chapter, but we’re not done with differentiation. In the next chapter, we’ll wrap up day one of the Foundation 
88	1425	6 Principles On a sunny Monday in January 2007, I was one of a few dozen new employees at Google’s headquarters in Mountain View, California
89	1515	value and figure out the business later. “Do one thing” reminded us that Google was all about search, and everything we made should either r
90	429	The word practical is important here. Like 2x2 charts, principles are common but rarely relevant. Plenty of teams have phrases like “pursue 
91	0	
92	1838	The trouble is not that these principles are too lofty—there’s nothing wrong with being high-minded. No, the problem is that they’re abstrac
93	1853	written to keep a tiny company from going bankrupt. Urgency is what made them great. At the beginning of your project, there is no need to w
94	2017	the unintended consequences of building a product that’s successful in an unfortunate way. The only thing worse than a project that flops is
95	964	Keep wordsmithing to a minimum Wordsmithing, as I define it, means “revising and re-revising in search of the perfect phrasing.” Listen, wor
96	282	Make a Mini Manifesto Put your project principles and the 2x2 differentiation chart together, and you’ve got what I call the Mini Manifesto.
97	0	
98	339	The Mini Manifesto marks the end of day one of the Foundation Sprint. For more detail on the schedule, see the checklist at the end of the b
99	8	Approach
100	174	On day two of the Foundation Sprint, choose an approach to your project. Create multiple options, evaluate them through different lenses, an
101	0	
102	1612	7 Options The other day, I was writing—totally in the zone, keyboard clacking away— when I noticed that I was ravenously hungry. I wanted a 
103	1169	could pivot before you even began? On day two of the Foundation Sprint, you’ll execute what you might think of as a “pre-pivot.” Before you 
104	2224	starting their own business. They strolled down cobblestone lanes, past charming chalets, and along rolling green hills. Then they stumbled 
105	1880	find for off-the-beaten-path sights. Genius Loci would differentiate by being deeply local and easily accessible. So far so good. The clear-
106	1088	Either would be easy to build. Heck, they could create signs and a website in far less time than they could create an app. In fact… maybe pu
107	1378	Questioning the project approach in the beginning can feel weird—like starting a road trip by exiting the highway to triple-check the map at
108	0	
109	1084	For Genius Loci, the additional approaches would look like this: Physical signs App + signs Website + signs Consider alternate customers For
110	1048	Write one-page summaries Next, make a one-page summary for each approach. (If you have more than five, use a Note-and-Vote to narrow the lis
111	0	
112	68	Here’s how the “website + signs” summary might look for Genius Loci:
113	0	
114	492	Once you’ve created these one-page summaries, you can be sure that every person has the same interpretation of each approach. Making a choic
115	1598	8 Lenses Around 2005, my dad bought a book called Team of Rivals by Doris Kearns Goodwin. Team of Rivals is a biography of Abraham Lincoln. 
116	1191	Sometimes I found that there was true consensus around one option. Sometimes I’d find one dissenting viewpoint that was so compelling I had 
117	0	
118	1660	When we do disagree, it’s hard to know how to handle it. Some common methods are playing devil’s advocate (also known as “dishing out wither
119	859	highest-quality interface. Seen through this “vision lens,” they agreed that an app with GPS was the clear winner—it could use the phone’s l
120	998	This new perspective gave them pause. Next, they thought about which approach would work best in the middle of nowhere. What if the cell sig
121	1356	Now, all of this perspective switching? It’s a lot of mental gymnastics. Examining a problem from different perspectives and weighing multip
122	611	Try the classic “team of rivals” If I could give every team the perfect set of advisors, I’d include: A product visionary who imagines the d
123	0	
124	727	To illustrate how the classic “team of rivals” works, let’s look at a Character portfolio company called Reclaim. Reclaim makes an AI-powere
125	0	
126	1274	If you have a product visionary, pragmatic engineer, marketing wiz, and finance expert on your team, that’s terrific. Let each one create hi
127	1613	Most teams find it useful to create anywhere from one to three of these custom lenses. You can also use your differentiation chart (from cha
128	759	Running the Magic Lenses exercise allows your team to stop mentally juggling everything at once—all of the factors and options and arguments
129	10	Tiny Loops
130	109	A strategy is just a hypothesis. Run experiments, establish confidence, and then build a product that clicks.
131	0	
132	1542	9 Hypothesis On September 23, 1846, an assistant at the Berlin Observatory received a letter. He opened it. He read it. His eyes probably go
133	2191	astronomy world: his calculations revealed new orbital irregularities pointing to the existence of a ninth planet. Nope, not Pluto. Le Verri
134	1985	Le Verrier, on the other hand, spent eighteen years with tunnel vision on Vulcan. What if he had acknowledged that his planet hypothesis was
135	1781	pack of wolves: anchoring bias grabs us by the collar, then self-serving, overconfidence, and confirmation biases all pile on. They push us—
136	465	I. Which is a bummer, because Vulcan is such a great name. So is Neptune, for that matter—it’s too bad Le Verrier didn’t get to name Uranus.
137	0	
138	145	Just fill in the blanks in this sentence: For example, here’s the Founding Hypothesis for the game I made in high school: Here are a couple 
139	0	
140	1082	Every big project is full of predictions, but they normally remain hidden behind the scenes. With the Founding Hypothesis, you pull those pr
141	1297	To make these questions plain, JZ and I give teams a scorecard that adds a question to each prediction: Do you have the right customer? Righ
142	0	
143	1582	10 Experiment There was one convenience store in the small town where I grew up: a place called Con’s Pitstop. In the front of Con’s they so
144	404	On my Nintendo at home, I could try over and over. There was no penalty for failure and no big audience. As a result, I wasn’t tense, I was 
145	1503	Big projects can be stressful. They cost lots of time and money and, in most cases, you only have one opportunity to get it right. In this c
146	1777	hypothesis was correct. Instead, they tested their hypothesis immediately by working in sprints. First, they cleared their calendars for a f
147	241	Jim Gao sketching a proposal for the Phaidra dashboard. John Zeratsky sketching a proposal for the Phaidra dashboard. By the end of the day,
148	522	On Wednesday, continuing to “work alone together,” the team reviewed the proposals and voted in silence. Then they held a structured debate,
149	1335	Then, on Friday, they interviewed four plant engineers in four separate Zoom calls. In each call, the Phaidra team asked the engineers about
150	861	The problem was that Phaidra hadn’t yet delivered on their differentiation. The dashboard promised to automatically run the plant—which engi
151	1043	In the interviews, the engineers started out skeptical. But as they examined the timeline and scrutinized the details, they started to nod t
152	0	
153	1023	Phaidra did the same thing by testing prototypes before their software existed. These tiny loops gave Katie, Jim, and Veda as many attempts 
154	1421	exhilarating… until I realized that, although the plan was three months, the reality was that building and fixing and tweaking and preparing
155	1457	2. Or twice as long as planned. 3. Whichever is greater. In my experience, this is true (pretty much) everywhere. I’m not saying MVPs are a 
156	1223	calendar for a week at a time can feel extreme, but when placed on a year-plus timeline, two days for a Foundation Sprint plus another five 
157	1927	services, printed medical reports, process changes for organizations… the list goes on. Focus on risks Make a list of the most important ris
158	2081	drive Slack by talking to chatbots. Merci chose a simpler proposal: a “product tour” that detailed Slack’s key features—and why they were be
159	2210	Watch for reactions How will you know when your solution finally clicks? If you want to remove all doubt, test whether customers will spend 
160	1554	stuﬀ. This kind of market might be anything: people who work with remote teams, people who manufacture chemicals, people who hate email, peo
161	65	another with a touch screen. Spoiler alert: the touch screen won.
162	1292	Afterword: The System Running a venture fund, as I do with JZ and Eli, is not the career I dreamed of as a kid. When I was a kid, I wanted t
163	1677	No doubt, running a venture fund is not the same as being a wild-haired genius with a pocketful of plutonium. But every time I get the chanc
164	1791	1. Drop everything and sprint on the most important challenge until it’s done. 2. Start by identifying your customer and a real problem you 
165	2358	These lessons, however, are not just for startups. JZ and I have heard from people around the world who have applied these methods to all ki
166	2254	at the start of every winter term. In Denmark, LEGO handed out copies of our book Sprint to an entire division of workers, then spent eight 
167	360	Next steps Turn the page for the Foundation Sprint Checklist. Check out theclickbook.com for an interactive guide with videos. Check out our
168	31	The Foundation Sprint Checklist
169	480	The Foundation Sprint is a two-day workshop for a team at the beginning of a big project. On the morning of day one, you’ll define the basic
170	1184	GET READY Check out our interactive guide You can use the guide as a virtual whiteboard to run your Foundation Sprint. You’ll find it on the
171	1153	If your team will meet in person: Book a room with a big whiteboard In the Foundation Sprint, the whiteboard becomes a shared brain for the 
172	1130	Even if everyone knows why you’re sprinting, remind them. Give them a walk-through of the template. Introduce “Get started not perfect” The 
173	678	Choose your target customer problem (about 15 minutes) Note-and-Vote. The Decider chooses one problem statement. (p. 43) Identify your advan
174	0	
175	583	11:30 a.m. Take a break (about 30 minutes) Get a snack or lunch. Stand up and stretch or take a walk. 12:00 p.m.—DIFFERENTIATION Differentia
176	925	Review the custom differentiators. Once again, mark where your solution could stack up against the competition. Choose differentiators (abou
177	390	Note-and-Vote. Be practical. Consider differentiation (“What advice would I give a new team member to make sure we follow through on our dif
178	0	
179	529	DAY 2 10:00 a.m.—APPROACH List all possible approaches (about 30 minutes) Note-and-Vote. Generate multiple alternate approaches to the proje
180	0	
181	607	11:00 a.m. Take a break (about 30 minutes) Get a snack or lunch. 11:30 a.m.—MAGIC LENSES Assign a color to each approach (about 10 minutes) 
182	694	Make “team of rivals” charts (about 15 minutes) Create the four default charts: customer lens, pragmatic lens, growth lens, and money lens. 
183	1295	1:00 p.m. Take a break (about 60 minutes) Get a snack or lunch. 2:00 p.m. Review the criteria (about 5 minutes) In silence, review the crite
184	0	
185	1031	FAQ Q: Is the Foundation Sprint only for startups? A: No. We designed the Foundation Sprint for startups, but organizations of all sizes and
186	1498	Approach into one day. Q: Should I modify the Foundation Sprint? A: No, not the first time you try it. We’ve optimized the steps of the Foun
187	1641	The Decider is the person with decision-making responsibility for the project. In early-stage startups, this is typically the CEO or another
188	522	who will be invested in testing the Founding Hypothesis after the sprint is complete. Q: Can our team run a Foundation Sprint even if we can
189	1292	Thank-You Notes This book would be no more than a pile of sticky notes without: Sylvie Carr, our agent, who guided Click all the way from ha
190	1698	Jessica Hische, who once again designed a cover that was not only everything I hoped it would be but also way better than I could imagine. M
191	1581	My mom, who listened to me read the entire book aloud (including many retakes) so I could get the words right. Mom, thanks for inspiring me 
192	269	A very big thank-you to the founders and teams who welcomed us into their work and took a chance on our experiments—and to YOU, dear reader,
193	27	More from the Author Sprint
194	300	About the Authors © LUKE KNAPP JAKE KNAPP is cofounder and general partner at Character Capital and a New York Times bestselling author. Pre
195	977	© JESSICA KAMINSKI JOHN ZERATSKY is cofounder and general partner at Character Capital and a New York Times bestselling author. Previously, 
196	36	Follow us on TikTok @avidreaderpress
197	178	ALSO BY JAKE KNAPP AND JOHN ZERATSKY Make Time: How to Focus on What Matters Every Day Sprint: How to Solve Big Problems and Test New Ideas 
198	455	We hope you enjoyed reading this Simon & Schuster ebook. Get a FREE ebook when you join our mailing list. Plus, get updates on new releases,
199	845	Index A note about the index: The pages referenced in this index refer to the page numbers in the print edition. Clicking on a page number w
200	1034	Decider and, 140 Genius Loci and, 130–34, 138 growth, 134, 137 middle-of-nowhere, 132–34, 138 money, 134, 137 pragmatic, 131–34, 137 Reclaim
201	984	motivation, 52, 56, 60–62 taking advantage of, 51–52 competition, 35, 63–70 copying of, 89 differentiation and, see differentiation direct, 
202	1059	Butterfield, Stewart, 176 cancer, 78 capability, 52, 55–56, 58, 60–62 carbon footprint, 69 cell phones, 93–94 Character Capital, 7, 59, 69, 
203	967	Skyscraper Robots and, 39–40, 43 custom lenses, 138–39 Damon, Matt, 64 Davis, Viola, 65 Decider, 30–31, 162, 176, 206–7 differentiation and,
204	970	“differentiate, differentiate, safeguard” formula for, 105 Google, 99–101, 103, 105 Mini Manifesto of, 107–9 Note-and-Vote in writing, 106 n
205	996	financial crisis of 2008, 24 Fleming, Camille, 185 focus, 26–28, 30 good emergency and, 31–32 Fong, Mandi, 162 Foundation Sprint, 8, 13–16, 
206	943	Founding Hypothesis of, 9 Go, 54–58 Godwin, Jonny, 77–79 good emergencies, 31–32 Goodwin, Doris Kearns, 127 Google, 6, 23–25, 59, 103, 128, 
207	775	see also Founding Hypothesis insight, 52, 59–62 iPhone, 93–94, 176n Irving, Julius “Dr. J,” 64, 65 jargon, 47 Jobs, Steve, 93–94, 176n Johns
208	845	see also Design Sprints MacCormack, Alan, 186 Magic Lenses, see lenses man-made materials, 77–78 map apps, 118 Markkula, Mike, 103 Mealy Mou
209	999	in identifying competition, 66–68 in identifying customer, 45–47 in identifying team’s unique advantage, 60–62 in writing one-page summaries
210	949	Apple, 103–4 ASI, 104 “differentiate, differentiate, safeguard” formula for, 105 Google, 99–101, 103, 105 Mini Manifesto of, 107–9 Note-and-
211	1025	sprints, 7, 28, 30, 185, 186 good emergencies in, 31–32 on most important challenge until it’s done, 28–33 in Stockholm, 23–27, 32, 40, 83, 
212	559	tiny loops, 15, 168–72 Phaidra and, 156, 170 see also Design Sprints TiVo, 68 2x2 charts, 93–96, 101, 104, 107 lenses and, 132, 133, 139–40 
213	292	Image Credits Stéph Cruchon took the photo on page 120. Katie Hoffman took the photo of Jim Gao on page 163. John Zeratsky took the photo of
214	1882	AVID READER PRESS An Imprint of Simon & Schuster, LLC 1230 Avenue of the Americas New York, NY 10020 www.SimonandSchuster.com For more than 
215	126	Library of Congress Cataloging-in-Publication Data has been applied for. ISBN 978-1-6680-7211-0 ISBN 978-1-6680-7213-4 (ebook)
