Recommended_Order,Tier,Phase,Person_or_Author,Resource_Title,Resource_Type,Series_or_Publisher,Date_or_Year,Primary_Goal,Why_It_Is_Relevant,Key_Frameworks_or_Topics,Practical_Output,Related_Book_or_Method,Primary_Link,Secondary_Link,Notes
11,Tier 1 — Choose / rank ideas,Market / PMF opportunity selection,NFX / James Currier,10 Places to Find Product-Market Fit,Article,NFX,Various,Look for structural situations where PMF is more likely to emerge.,Adds a market-structure lens to idea selection rather than judging only the surface concept.,New inventory; new behaviors; inaccessible supply; market structure; PMF opportunities,A checklist of structural tailwinds around each idea.,NFX product-market-fit heuristics,https://www.nfx.com/post/10-places-to-find-product-market-fit,,Useful for comparing market contexts across several ideas.
12,Tier 1 — Choose / rank ideas,Idea generation / filtering,First Round Review contributors,12 Frameworks for Finding Startup Ideas,Article / framework collection,First Round Review,2024,Generate and evaluate startup ideas using multiple founder-tested lenses.,Useful when your challenge is not a lack of ideas but understanding different ways to interpret and narrow them.,Idea generation; market transition; founder insight; problem discovery; opportunity filtering,Alternative lenses for pruning or reframing an idea backlog.,Multiple founder frameworks,https://review.firstround.com/12-frameworks-for-finding-startup-ideas-advice-for-future-founders/,,Good reference piece rather than mandatory linear listening.
13,Tier 1 — Choose / rank ideas,Product idea quality,Mark Pincus,The hidden pattern behind successful products,Podcast / video,Lenny's Podcast,2026-06-14,Develop better product judgment and avoid confusing correct instincts with weak specific ideas.,Very strong for evaluating whether an idea is new in the right way rather than novel for novelty's sake.,"Proven, Better, New; kill hope before hope kills you; product instincts vs. ideas",A more disciplined test of whether an idea builds on proven behavior and is meaningfully better.,Life at the Speed of Play: Launch Products People Love!,https://www.lennysnewsletter.com/p/the-common-pattern-behind-successful,,Especially relevant to consumer-product ideas.
14,Tier 1 — Choose / rank ideas,Problem selection + PMF,Uri Levine,"Lessons from a two-time unicorn builder, 50-time startup advisor, and 20-time company board member",Podcast / video,Lenny's Podcast,2024-06-09,Judge whether the problem is important enough and learn how a product iterates toward PMF.,Strong bridge between choosing a problem and observing whether the solution is becoming valuable.,Fall in love with the problem; problem size; startup idea sources; Waze PMF; watch non-converters,A problem-quality check plus better observation targets during validation.,"Fall in Love with the Problem, Not the Solution",https://www.lennysnewsletter.com/p/lessons-from-uri-levine,https://urilevine.com/book/,Useful for separating a compelling solution concept from a compelling underlying problem.
15,Tier 1 — Choose / rank ideas,Founder / startup potential,Gustaf Alströmer,Lessons from working with 600+ YC startups,Podcast / video,Lenny's Podcast,2023-03-02,"Recognize failure patterns, founder behaviors, user pain and signs of company potential.",Broad but grounded in hundreds of YC companies; useful as a sanity check on your process.,Reasons startups fail; talk to users; pain points; watch users; signs of potential; speed vs. quality,A set of process and founder-behavior checks around an idea.,Y Combinator startup coaching,https://www.lennysnewsletter.com/p/lessons-from-working-with-600-yc,,"Broader than the top items, so it sits later in Tier 1."
16,Tier 2 — Validate demand,Pre-build demand validation,Alberto Savoia,Pretotyping / The Right It,Methodology / talks / book,Pretotyping.org,Ongoing,Test whether people want the idea before building the real product.,One of the strongest systems for avoiding false-positive enthusiasm and expensive premature building.,Pretotyping; XYZ hypothesis; riskiest assumption; cheap behavioral experiments,A low-cost experiment capable of killing or strengthening an idea.,The Right It; Pretotyping,https://www.pretotyping.org/,https://www.pretotyping.org/methodology.html,Top-tier validation resource.
17,Tier 2 — Validate demand,Progressive validation,Rob Walling,2 / 20 / 200 Validation Framework,Podcast,Startups for the Rest of Us,2024,Progressively increase validation effort only as an idea earns stronger evidence.,"Natural continuation after 5 P.M.: ranking first, then investing increasing effort into real validation.",2/20/200 validation; staged evidence; landing pages; conversations; validation escalation,A staged validation plan for shortlisted ideas.,2 / 20 / 200 framework,https://www.startupsfortherestofus.com/episodes/episode-706-2-20-200-validation-prior-art-and-designing-by-committee-a-rob-solo-adventure,,Especially appropriate for bootstrap-friendly app/SaaS ideas.
18,Tier 2 — Validate demand,Experiment design,David J. Bland,Testing Business Ideas — webinar,Webinar / video,Strategyzer,Various,Choose experiments that test the riskiest assumptions behind an idea.,Provides a much larger experiment vocabulary than simply interviewing users.,Assumption mapping; experiment design; evidence strength; desirability/feasibility/viability,A prioritized assumption map and concrete experiment plan.,Testing Business Ideas,https://www.strategyzer.com/library/stratchat-webinar-replay-testing-business-ideas-with-david-bland,https://www.strategyzer.com/library/testing-business-ideas-book,Excellent after Pretotyping for a broader experiment toolkit.
19,Tier 2 — Validate demand,Experiment design,David J. Bland; Alex Osterwalder,Testing Business Ideas,Book / reference manual,Strategyzer / Wiley,2019,Provide a reusable library of experiments for testing business-model assumptions.,Best treated as a reference manual once you are actually running tests on your ideas.,Assumption mapping; experiment library; evidence strength; decision rules,Repeatable experiment choices for each major risk.,Business Model Canvas; Value Proposition Canvas,https://www.strategyzer.com/library/testing-business-ideas-book,,Reference resource rather than something you must read cover-to-cover first.
20,Tier 2 — Validate demand,AI-assisted experiment design,Strategyzer,Testing Business Ideas with AI — Masterclass,Training / workshop,Strategyzer,Current offering,Use AI to accelerate experiment design while keeping evidence-based validation discipline.,Relevant if you want a guided working session rather than only consuming content.,AI-assisted hypothesis generation; experiment design; evidence; business-model testing,A designed or launched validation experiment.,Testing Business Ideas,https://www.strategyzer.com/training-events/masterclass-testing-business-ideas-ai,,Optional paid/guided complement to the book.
21,Tier 2 — Validate demand,Customer interviews,Rob Fitzpatrick,The Mom Test,Book / practical methodology,The Mom Test,2013,Run customer conversations without collecting misleading compliments and hypotheticals.,Prevents one of the easiest ways to convince yourself that a weak idea is validated.,Past behavior; concrete problems; commitment and advancement; avoiding hypothetical questions,Better interview questions and more trustworthy evidence.,The Mom Test,https://www.momtestbook.com/,https://www.momtestbook.com/teachers,Read/watch before conducting serious customer interviews.
22,Tier 2 — Validate demand,Customer interviews,Eric Migicovsky,How to Talk to Users,Video / lecture,Y Combinator,2019,"Conduct practical user conversations at idea, prototype and launched stages.",Short and highly actionable companion to The Mom Test.,Five interview questions; recent behavior; pain; current alternatives; idea/prototype/launch stages,A usable customer-interview script.,YC customer discovery,https://www.youtube.com/watch?v=MT4Ig2uqjTc,https://www.ycombinator.com/blog/startup-school-week-1-recap-kevin-hale-and-eric-migicovsky/,Very high value per minute.
23,Tier 2 — Validate demand,Early customer discovery,Jeanette Mellinger,How to Know if Your Idea's the Right One — A Founder's Guide for Successful Early-Stage Customer Discovery,Article / playbook,First Round Review,Recent,Use a staged customer-discovery process to determine whether a problem and idea are worth pursuing.,Directly targets the question of whether your idea is the right one.,Three-stage discovery; user research; problem evidence; early-stage customer learning,A structured discovery process for an idea.,Early-stage customer research,https://review.firstround.com/how-to-know-if-your-ideas-the-right-one-a-founders-guide-for-successful-early-stage-customer-discovery/,,Good bridge between interview technique and startup decision-making.
24,Tier 2 — Validate demand,Unconventional validation,"First Round Review / founders from Linear, Mercury, WorkOS and others",Is Your Startup Idea Any Good? Unconventional Tactics for Validating Your Startup Idea,Article / case-study collection,First Round Review,Recent,See how strong founders create evidence without relying on standard survey/interview playbooks.,Useful when ordinary customer interviews are not enough or your product is hard to validate conventionally.,Unconventional validation; founder tactics; behavioral evidence; pre-build learning,New experiment ideas tailored to difficult-to-validate concepts.,Founder case studies,https://review.firstround.com/unconventional-tactics-for-validating-your-startup-idea/,,Best after you understand the basic principles of validation.
25,Tier 2 — Validate demand,Minimum-cost testing,First Round Review,The Minimum Viable Testing Process for Evaluating Startup Ideas,Article / framework,First Round Review,Various,Build the smallest test needed to falsify an important startup hypothesis.,Reframes MVP thinking from building a product to building only enough to learn.,Minimum viable testing; falsification; hypothesis testing; learning before product,"A smaller, faster test than a traditional MVP.",Minimum Viable Testing,https://review.firstround.com/the-minimum-viable-testing-process-for-evaluating-startup-ideas/,,Conceptually pairs very well with Pretotyping.
26,Tier 2 — Validate demand,Customer development,Steve Blank,Customer Development / Lean LaunchPad,Course / methodology,Stanford / Steve Blank,Ongoing,Systematically test customer/problem/business-model hypotheses outside the building.,Foundational process behind much modern startup validation.,Customer discovery; customer validation; business model hypotheses; repeated field interviews,"A weekly cadence of hypotheses, customer evidence and revised business model.",The Four Steps to the Epiphany; The Startup Owner's Manual,https://leanlaunchpad.stanford.edu/course-info,https://steveblank.com/tag/customer-development/,More rigorous and time-intensive than the lightweight resources above.
27,Tier 2 — Validate demand,Business model + riskiest assumptions,Ash Maurya,Running Lean / Lean Canvas,Book / framework,LEANSTACK,Ongoing,"Turn an idea into explicit assumptions, identify what is riskiest, then test in the right order.",Useful for keeping a messy product idea coherent while evidence changes it.,Lean Canvas; riskiest assumption; business model; traction; continuous innovation,A concise business-model hypothesis plus prioritized risks.,Running Lean; Lean Canvas,https://leanstack.com/entrepreneurs,https://medium.leanstack.com/what-is-the-right-fill-order-for-a-lean-canvas-f8071d0c6c8c,Good persistent structure for an idea as it evolves.
28,Tier 2 — Validate demand,AI-assisted validation,Ash Maurya / LEANSTACK,LEANSpark,AI tool / guided system,LEANSTACK,2026,"Track assumptions, interviews, experiments and evidence in an AI-assisted validation workflow.",Closest non-podcast resource to an ongoing system that can challenge and develop your own idea.,Lean Canvas; assumption tracking; evidence; experiments; contradiction detection,Persistent evidence-aware startup model.,Running Lean; Continuous Innovation,https://leanspark.leanstack.com/,https://leanstack.com/entrepreneurs,Worth trying rather than merely reading about.
29,Tier 2 — Validate demand,End-to-end venture development,Bill Aulet,Disciplined Entrepreneurship — 24 Steps,Book / framework / course material,MIT,Ongoing,"Develop an idea from market selection through customer, economics and MVP in a disciplined sequence.",A more comprehensive system for developing an idea once it has survived the first filters.,Market segmentation; beachhead market; persona; use case; value; acquisition; business model; pricing; MVP,An increasingly complete venture specification across 24 steps.,Disciplined Entrepreneurship,https://mitsloan.mit.edu/node/48291,,More comprehensive than necessary for initial idea ranking; excellent for a surviving idea.
30,Tier 2 — Validate demand,AI-assisted venture development,MIT,MIT Orbit / JetPack,AI tool,MIT,2026,Guide founders through MIT entrepreneurship frameworks with generative AI.,Very close to an AI-guided version of Disciplined Entrepreneurship.,Disciplined Entrepreneurship; guided venture development; AI assistance,AI-assisted progression through startup-development steps.,Disciplined Entrepreneurship,https://orbit.mit.edu/,https://mitsloan.mit.edu/ideas-made-to-matter/new-mit-ai-jetpack-accelerates-entrepreneurial-process,Availability may be restricted; external access can involve a waitlist.
31,Tier 3 — Develop the winning idea,Opportunity discovery / solution development,Teresa Torres,Opportunity Solution Trees / Continuous Discovery Habits,Framework / articles / book,Product Talk,Ongoing,Develop a promising idea by exploring customer opportunities and multiple possible solutions.,Excellent for an idea that is 'almost there' but needs systematic product development rather than immediate building.,Opportunity Solution Tree; outcome; opportunities; solutions; assumption tests; continuous discovery,"A map from desired outcome to customer needs, candidate solutions and tests.",Continuous Discovery Habits,https://www.producttalk.org/opportunity-solution-trees/,https://www.producttalk.org/getting-started-with-discovery/,One of the strongest resources for turning a promising concept into a stronger product.
32,Tier 3 — Develop the winning idea,Product discovery / risk reduction,Marty Cagan / SVPG,Four Big Risks,Article / product discovery framework,Silicon Valley Product Group,Ongoing,"Test whether a proposed product has value, usability, feasibility and business viability.",Prevents a promising idea from becoming a technically polished product nobody wants or the business cannot support.,Value risk; usability risk; feasibility risk; viability risk,A risk register for a product concept and a discovery agenda.,Inspired; Product Discovery,https://www.svpg.com/four-big-risks/,,Best once one idea is clearly ahead.
33,Tier 3 — Develop the winning idea,Prototype-driven learning,Marty Cagan / SVPG,Build to Learn vs. Build to Earn,Article / series,Silicon Valley Product Group,2026,Separate prototypes built to answer questions from production software built to operate.,Especially valuable when coding is easy enough that building can become a substitute for thinking.,Build to learn; prototypes; discovery; production engineering; evidence,Clear decision on what to prototype cheaply versus what to engineer for real.,Product Discovery,https://www.svpg.com/build-to-learn-vs-build-to-earn/,https://www.svpg.com/build-to-learn-faq/,Strong companion to Pretotyping for software builders.
34,Tier 3 — Develop the winning idea,Problem / demand discovery,Bob Moesta,The ultimate guide to JTBD,Podcast / video,Lenny's Podcast,2023-08-24,Understand the real struggling moments and progress customers are trying to make.,Excellent for improving an idea by discovering the underlying demand rather than adding features to the original solution.,Jobs To Be Done; struggling moments; switching behavior; interviews; demand signals,A clearer job/problem model and better customer interviews.,Jobs To Be Done; Demand-Side thinking,https://www.lennysnewsletter.com/p/the-ultimate-guide-to-jtbd-bob-moesta,,Particularly useful when an idea feels compelling but the exact user need is still fuzzy.
35,Tier 3 — Develop the winning idea,Positioning / customer fit,April Dunford,"April Dunford on product positioning, segmentation, and optimizing your sales process",Podcast / video,Lenny's Podcast,2022-06-09,"Determine what the product is uniquely good at, who cares most, and what market frame makes the value obvious.",Useful when a product may be good but the target customer or differentiated value is still wrong or fuzzy.,Competitive alternatives; unique attributes; differentiated value; target customer; market category,A positioning hypothesis and clearer target segment.,Obviously Awesome,https://www.lennysnewsletter.com/p/april-dunford-on-product-positioning,https://www.lennysnewsletter.com/p/positioning,More useful after some real customer patterns exist.
36,Tier 3 — Develop the winning idea,Positioning / sales narrative,April Dunford,A step-by-step guide to crafting a sales pitch that wins,Podcast / video,Lenny's Podcast,2023-10-22,Turn differentiated value into a persuasive customer story.,Useful once an idea/product has enough shape that you need to see whether customers understand and buy the value.,Market insight; differentiated value; sales narrative; competition with no decision,A customer-facing pitch that tests the product's positioning.,Sales Pitch; Obviously Awesome,https://www.lennysnewsletter.com/p/a-step-by-step-guide-to-crafting,https://www.lennysnewsletter.com/p/how-to-build-a-killer-sales-pitch,Especially relevant for B2B ideas.
37,Tier 3 — Develop the winning idea,Rapid product iteration,Gaurav Misra,"How to win in the AI era: Ship a feature every week, embrace technical debt, ruthlessly cut scope...",Podcast / video,Lenny's Podcast,2025-03-27,"Develop promising software ideas rapidly with tight scope, prototypes and frequent marketable releases.",Strong for the stage where an idea has signal and you need to learn quickly without over-engineering.,Weekly shipping; ruthless scope cutting; customer complaints; public vs. experimental roadmap; prototypes,A faster product-development and learning cadence.,Captions product-development operating model,https://www.lennysnewsletter.com/p/how-to-win-in-the-ai-era-gaurav-misra,,More execution-oriented than idea selection.
38,Tier 3 — Develop the winning idea,Consumer app development / growth,Nikita Bier,How to consistently go viral: Nikita Bier's playbook for winning at consumer apps,Podcast / video,Lenny's Podcast,2024-08-25,Find latent demand and design consumer apps that reach value quickly and spread.,Move this much higher if the ideas are consumer/mobile apps.,Latent demand; aha moment; consumer app growth; virality; activation; durability,A stronger consumer-app concept and faster path to core value.,Nikita Bier's consumer app playbook,https://www.lennysnewsletter.com/p/how-to-consistently-go-viral-nikita-bier,,Specialized: extremely useful for B2C/mobile; less relevant for B2B.
39,Tier 3 — Develop the winning idea,Product judgment / craftsmanship,Tony Fadell,"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era",Podcast / video,Lenny's Podcast,2026-06-07,Develop product judgment for decisions that cannot be settled by data alone.,Useful once you are actually shaping the product and must make high-leverage product decisions.,Opinion vs. data; product taste; three generations rule; marketing + product,Better judgment around product decisions and iteration depth.,Build: An Unorthodox Guide to Making Things Worth Making,https://www.lennysnewsletter.com/p/father-of-the-ipod-and-iphone-on,,Not an idea-selection framework; use later.
40,Tier 3 — Develop the winning idea,Case study / fast app building,Maor Shlomo,"Solo founder, $80M exit, 6 months: The Base44 bootstrapped startup success story",Podcast / case study,Lenny's Podcast,2025-07-06,Study a recent software product that went from build to rapid activation and growth unusually quickly.,"Useful case study for a software developer, but less systematic than the frameworks above.",Fast product development; activation experiments; organic growth; bootstrapping; AI-assisted coding,Concrete examples of rapid iteration and activation improvements.,Base44 case study,https://www.lennysnewsletter.com/p/the-base44-bootstrapped-startup-success-story-maor-shlomo,,"Case study, not a primary decision framework."
41,Tier 3 — Develop the winning idea,B2B customer discovery / first revenue,Jen Abel,The ultimate guide to founder-led sales,Podcast / video,Lenny's Podcast,2024-11-24,Get from early customer discovery to actual buying behavior and first revenue.,Especially useful for B2B ideas where real willingness to engage and buy is a stronger signal than interview enthusiasm.,Founder-led sales; outreach; discovery calls; qualification; demo; procurement; closing,A practical path from prospecting to customer commitment.,Founder-led sales,https://www.lennysnewsletter.com/p/master-founder-led-sales-jen-abel,,Move earlier for B2B products.
42,Tier 3 — Develop the winning idea,MVP / launch,Michael Seibel,How to Plan an MVP,Video / lecture,Y Combinator,Various,Translate a validated problem into the smallest launchable product and keep learning after launch.,Useful only after an idea has earned the right to be built.,MVP; launch quickly; talk to users; feedback; don't fall in love with MVP,A smaller first product and launch-learning loop.,Y Combinator MVP methodology,https://www.youtube.com/watch?v=1hHMwLxN6EM,,Do not start here when the main problem is idea selection.
43,Tier 3 — Develop the winning idea,End-to-end SaaS launch,Rob Walling / MicroConf,SaaS Launchpad,Course,MicroConf,Current,"Guide a SaaS idea through choosing, validation, PMF, MVP and launch.",Packages several of the earlier concepts into a single SaaS-oriented learning path.,Idea selection; validation; MVP; PMF; launch; SaaS,A structured end-to-end SaaS launch plan.,MicroConf / Startups for the Rest of Us frameworks,https://microconf.com/courses/saas-launchpad,,Useful if the winning idea is clearly SaaS.
44,Tier 4 — Know when to double down,Product-market fit diagnosis,Todd Jackson,A framework for finding product-market fit,Podcast / video,Lenny's Podcast,2024,Diagnose where a product sits on the road to PMF and what is blocking progress.,Excellent for the question 'this seems almost there — what exactly is missing?',Nascent/developing/strong/extreme PMF; persona; problem; promise; product,A PMF-stage diagnosis and a clearer hypothesis about what must change.,First Round's four-level PMF framework,https://www.lennysnewsletter.com/p/a-framework-for-finding-product-market,,High priority once an idea has real users or customer engagement.
45,Tier 4 — Know when to double down,Product-market fit measurement + roadmap,Rahul Vohra,Superhuman's secret to success,Podcast / video,Lenny's Podcast,2025-03-23,Measure PMF methodically and translate user responses into a product roadmap.,Very strong for an idea/product that has some signal but you don't know whether to double down or change direction.,Sean Ellis 40% test; PMF segmentation; roadmap from 'somewhat disappointed' users; positioning; Single Decisive Reason,A measurable PMF score and more disciplined roadmap priorities.,Sean Ellis PMF test; Superhuman PMF engine,https://www.lennysnewsletter.com/p/superhumans-secret-to-success-rahul-vohra,https://review.firstround.com/how-superhuman-built-an-engine-to-find-product-market-fit/,One of the best resources once you have a meaningful user base.
46,Tier 4 — Know when to double down,Product-market fit measurement + roadmap,Rahul Vohra,How Superhuman Built an Engine to Find Product-Market Fit,Article / working framework,First Round Review,2018,Apply Superhuman's PMF survey and optimization loop directly.,Better as a working resource than a podcast when you are ready to actually run the PMF process.,40% very-disappointed metric; high-expectation customers; segmentation; roadmap; PMF optimization,"A PMF survey, segmentation and prioritized improvement roadmap.",Sean Ellis PMF test,https://review.firstround.com/how-superhuman-built-an-engine-to-find-product-market-fit/,,Use with real users; not meaningful at raw idea stage.
47,Tier 4 — Know when to double down,PMF measurement by stage,First Round Review,How to Measure Product-Market Fit,Article / stage guide,First Round Review,Recent,Choose appropriate PMF evidence and metrics for the stage your company is actually in.,Prevents applying mature-company PMF metrics too early or relying on soft evidence too long.,Stage-specific PMF metrics; retention; demand; customer evidence,A stage-appropriate PMF measurement plan.,First Round PMF framework,https://review.firstround.com/how-to-measure-product-market-fit/,,Useful alongside Todd Jackson and Rahul Vohra.
48,Tier 4 — Know when to double down,PMF case studies / synthesis,First Round Review,20 Lessons From 20 Different Paths to Product-Market Fit,Article / case-study collection,First Round Review,2024,Compare many real paths from ideation and validation to product-market fit.,"Shows that PMF has different paths while still revealing repeatable patterns, including idea filtering.",Ideation; validation; WorkOS idea filtering; PMF paths; founder case studies,Pattern recognition across different routes to PMF.,20 founder case studies,https://review.firstround.com/20-lessons-from-20-different-paths-to-product-market-fit-advice-for-founders-from-founders/,,Includes Michael Grinich/WorkOS's notebook-to-idea filtering approach.
49,Tier 4 — Know when to double down,PMF reference library,First Round Review,If You're Searching for Product-Market Fit — Collection,Resource collection,First Round Review,Ongoing,Provide a deep reference library for different PMF questions and stages.,Useful as an ongoing lookup resource once you are actively navigating PMF.,PMF frameworks; customer evidence; retention; positioning; founder case studies,A reference library to consult as new PMF problems emerge.,First Round PMF research,https://review.firstround.com/collections/if-youre-searching-for-product-market-fit/,,Reference collection; not intended to consume linearly.
